Test Feature A,Test Feature B,R-Value,P-Value
Ht,Ht,[1.],[0.]
Ht,Wt,[0.70726692],[8.78072866e-36]
Ht,GP,[0.25252889],[0.0001198]
Ht,G,[0.17377017],[0.00869677]
Ht,A,[0.19542962],[0.00310757]
Ht,A1,[0.17892931],[0.00687343]
Ht,A2,[0.19679078],[0.00290231]
Ht,PTS,[0.19586036],[0.00304123]
Ht,+/-,[0.02387834],[0.72047023]
Ht,Shifts,[0.2499852],[0.00014094]
Ht,TOI,[0.24489684],[0.00019412]
Ht,TOIX,[0.2446483],[0.00019715]
Ht,TOI/GP,[0.16216164],[0.01444439]
Ht,TOI%,[0.13844449],[0.037118]
Ht,iBLK,[0.21697506],[0.00100014]
Ht,iFOW,[0.23963734],[0.00026837]
Ht,iFOL,[0.253],[0.00011622]
Ht,FO%,[0.13471824],[0.04257725]
Ht,OTG,[0.0773706],[0.24563182]
Ht,GWG,[0.19342591],[0.00343368]
Ht,G.Bkhd,[0.17295895],[0.00901956]
Ht,G.Snap,[0.10941837],[0.10008869]
Ht,G.Tip,[0.11020619],[0.09765371]
Ht,G.Wrap,[0.04715165],[0.47963615]
Ht,G.Wrst,[0.17980004],[0.00660185]
Ht,Post,[0.09512759],[0.15312146]
Ht,Over,[0.14441762],[0.02960496]
Ht,Wide,[0.18568978],[0.00500322]
Ht,S.Bkhd,[0.20609037],[0.00179832]
Ht,S.Dflct,[0.09092482],[0.17218816]
Ht,S.Slap,[0.04205021],[0.52847481]
Ht,S.Tip,[0.15720916],[0.01777111]
Ht,S.Wrap,[0.14774463],[0.02601397]
Ht,S.Wrst,[0.21875903],[0.00090595]
Wt,Ht,[0.70726692],[8.78072866e-36]
Wt,Wt,[1.],[0.]
Wt,GP,[0.21215922],[0.0013012]
Wt,G,[0.12099926],[0.0688042]
Wt,A,[0.16794403],[0.01126139]
Wt,A1,[0.16158506],[0.01480133]
Wt,A2,[0.15823097],[0.01703475]
Wt,PTS,[0.15677289],[0.01809385]
Wt,+/-,[0.08474545],[0.20334611]
Wt,Shifts,[0.20805608],[0.00162097]
Wt,TOI,[0.19620664],[0.00298884]
Wt,TOIX,[0.19697998],[0.00287477]
Wt,TOI/GP,[0.1095166],[0.09978248]
Wt,TOI%,[0.08645784],[0.19432988]
Wt,iBLK,[0.21406217],[0.00117349]
Wt,iFOW,[0.20278531],[0.00213686]
Wt,iFOL,[0.19824343],[0.00269688]
Wt,FO%,[0.07031613],[0.29147657]
Wt,OTG,[0.04170591],[0.53185924]
Wt,GWG,[0.14307758],[0.03116662]
Wt,G.Bkhd,[0.15876573],[0.01666009]
Wt,G.Snap,[0.10203234],[0.12532178]
Wt,G.Tip,[0.1434741],[0.03069736]
Wt,G.Wrap,[0.02787408],[0.67614418]
Wt,G.Wrst,[0.09590457],[0.14977836]
Wt,Post,[0.07761323],[0.24414985]
Wt,Over,[0.13012585],[0.0502183]
Wt,Wide,[0.20830621],[0.00159959]
Wt,S.Bkhd,[0.20610353],[0.00179708]
Wt,S.Dflct,[0.00935497],[0.88852375]
Wt,S.Slap,[0.02341347],[0.72569187]
Wt,S.Tip,[0.15536452],[0.01917076]
Wt,S.Wrap,[0.20361279],[0.00204705]
Wt,S.Wrst,[0.19327215],[0.00345994]
GP,Ht,[0.25252889],[0.0001198]
GP,Wt,[0.21215922],[0.0013012]
GP,GP,[1.],[0.]
GP,G,[0.71832037],[2.33389912e-37]
GP,A,[0.7201917],[1.24123151e-37]
GP,A1,[0.69604469],[2.94769264e-34]
GP,A2,[0.67678157],[8.5253198e-32]
GP,PTS,[0.75240867],[9.83795439e-43]
GP,+/-,[-5.7267129e-05],[0.99931537]
GP,Shifts,[0.96313777],[1.17395165e-130]
GP,TOI,[0.94248515],[2.41449098e-109]
GP,TOIX,[0.94287596],[1.1430863e-109]
GP,TOI/GP,[0.70153738],[5.38928806e-35]
GP,TOI%,[0.68097456],[2.57677362e-32]
GP,iBLK,[0.79268661],[2.43252883e-50]
GP,iFOW,[0.68450485],[9.26374259e-33]
GP,iFOL,[0.7161306],[4.8546742e-37]
GP,FO%,[0.36758663],[1.13175848e-08]
GP,OTG,[0.30815873],[2.20722315e-06]
GP,GWG,[0.56907607],[6.78255719e-21]
GP,G.Bkhd,[0.50089582],[7.89900274e-16]
GP,G.Snap,[0.50273306],[5.96330409e-16]
GP,G.Tip,[0.47191866],[5.36159583e-14]
GP,G.Wrap,[0.19620482],[0.00298911]
GP,G.Wrst,[0.6762373],[9.94329722e-32]
GP,Post,[0.55059339],[2.09098252e-19]
GP,Over,[0.62227716],[9.48201717e-26]
GP,Wide,[0.78525959],[8.1503311e-49]
GP,S.Bkhd,[0.77133003],[4.11242664e-46]
GP,S.Dflct,[0.47108719],[6.01645927e-14]
GP,S.Slap,[0.49024141],[3.90197623e-15]
GP,S.Tip,[0.65636906],[2.19853304e-29]
GP,S.Wrap,[0.46378287],[1.63385152e-13]
GP,S.Wrst,[0.80899021],[6.42229691e-54]
G,Ht,[0.17377017],[0.00869677]
G,Wt,[0.12099926],[0.0688042]
G,GP,[0.71832037],[2.33389912e-37]
G,G,[1.],[0.]
G,A,[0.81953121],[2.01905407e-56]
G,A1,[0.81167761],[1.53003025e-54]
G,A2,[0.74326219],[3.30067449e-41]
G,PTS,[0.93071251],[1.67481357e-100]
G,+/-,[0.18592409],[0.00494751]
G,Shifts,[0.80182866],[2.63427911e-52]
G,TOI,[0.83681564],[6.69311138e-61]
G,TOIX,[0.83661391],[7.60150382e-61]
G,TOI/GP,[0.81997987],[1.56680843e-56]
