Test Feature A,Test Feature B,R-Value,P-Value
Ht,Ht,[1.],[0.]
Ht,+/-,[0.02387834],[0.72047023]
Ht,G.Snap,[0.10941837],[0.10008869]
Ht,G.Wrap,[0.04715165],[0.47963615]
Ht,Post,[0.09512759],[0.15312146]
Ht,S.Dflct,[0.09092482],[0.17218816]
Ht,S.Slap,[0.04205021],[0.52847481]
+/-,+/-,[1.],[0.]
+/-,G.Snap,[0.0793462],[0.23374632]
+/-,G.Wrap,[0.02011375],[0.7631069]
+/-,Post,[0.02212655],[0.74021244]
+/-,S.Dflct,[0.08141382],[0.22174715]
+/-,S.Slap,[0.00314734],[0.96238733]
G.Snap,G.Snap,[1.],[0.]
G.Snap,G.Wrap,[0.21717346],[0.00098924]
G.Snap,Post,[0.49097235],[3.50316875e-15]
G.Snap,S.Dflct,[0.36134133],[2.07687526e-08]
G.Snap,S.Slap,[0.57577283],[1.8555316e-21]
G.Wrap,G.Wrap,[1.],[0.]
G.Wrap,Post,[0.18162892],[0.00606243]
G.Wrap,S.Dflct,[-0.00712511],[0.91497951]
G.Wrap,S.Slap,[0.22222277],[0.00074597]
Post,Post,[1.],[0.]
Post,S.Dflct,[0.44839095],[1.24262387e-12]
Post,S.Slap,[0.57633048],[1.66344869e-21]
S.Dflct,S.Dflct,[1.],[0.]
S.Dflct,S.Slap,[0.29435531],[6.44545934e-06]
S.Slap,S.Slap,[1.],[0.]
