Test Feature A,Test Feature B,R-Value,P-Value
G,G,[1.],[0.]
G,A,[0.81953121],[2.01905407e-56]
G,A1,[0.81167761],[1.53003025e-54]
G,A2,[0.74326219],[3.30067449e-41]
G,PTS,[0.93071251],[1.67481357e-100]
G,Shifts,[0.80182866],[2.63427911e-52]
G,TOI,[0.83681564],[6.69311138e-61]
G,TOIX,[0.83661391],[7.60150382e-61]
G,TOI/GP,[0.81997987],[1.56680843e-56]
G,TOI%,[0.81256382],[9.48553299e-55]
A,A,[1.],[0.]
A,A1,[0.96734354],[1.69571187e-136]
A,A2,[0.93819478],[6.38602613e-106]
A,PTS,[0.97232903],[1.67370543e-144]
A,Shifts,[0.82161186],[6.19163583e-57]
A,TOI,[0.86610277],[7.77161429e-70]
A,TOIX,[0.86578837],[9.93977421e-70]
A,TOI/GP,[0.85844157],[2.63097261e-67]
A,TOI%,[0.85002693],[1.07715838e-64]
A1,A1,[1.],[0.]
A1,A2,[0.81991303],[1.62720543e-56]
A1,PTS,[0.94833525],[1.84483886e-114]
A1,Shifts,[0.79614296],[4.51676745e-51]
A1,TOI,[0.83943545],[1.26160787e-61]
A1,TOIX,[0.83924657],[1.42432099e-61]
A1,TOI/GP,[0.83725638],[5.0653684e-61]
A1,TOI%,[0.82807366],[1.42518756e-58]
A2,A2,[1.],[0.]
A2,PTS,[0.9017222],[4.33549495e-84]
A2,Shifts,[0.76916188],[1.04133644e-45]
A2,TOI,[0.81062804],[2.68655933e-54]
A2,TOIX,[0.81018178],[3.4094923e-54]
A2,TOI/GP,[0.79660045],[3.6056164e-51]
A2,TOI%,[0.79024488],[7.83938049e-50]
PTS,PTS,[1.],[0.]
PTS,Shifts,[0.85127845],[4.50865026e-65]
PTS,TOI,[0.89393316],[1.51130842e-80]
PTS,TOIX,[0.89364986],[2.00881936e-80]
PTS,TOI/GP,[0.88228186],[9.82793875e-76]
PTS,TOI%,[0.87388199],[1.43346088e-72]
Shifts,Shifts,[1.],[0.]
Shifts,TOI,[0.99197864],[8.73443944e-205]
Shifts,TOIX,[0.99205926],[2.80200471e-205]
Shifts,TOI/GP,[0.83539394],[1.63510847e-60]
Shifts,TOI%,[0.81233912],[1.07105461e-54]
TOI,TOI,[1.],[nan]
TOI,TOIX,[0.99995434],[0.]
TOI,TOI/GP,[0.87335942],[2.21656598e-72]
TOI,TOI%,[0.8540033],[6.58226991e-66]
TOIX,TOIX,[1.],[0.]
TOIX,TOI/GP,[0.87276097],[3.64277467e-72]
TOIX,TOI%,[0.85336972],[1.03323074e-65]
TOI/GP,TOI/GP,[1.],[nan]
TOI/GP,TOI%,[0.99177501],[1.46715758e-203]
TOI%,TOI%,[1.],[0.]
