Test Feature,R-Value,P-Value
Ht,[0.00016083],[0.99789334]
Wt,[0.12925137],[0.03310256]
GP,[0.5342466],[1.73750174e-21]
G,[0.579942],[7.35303123e-26]
A,[0.61585129],[8.20298281e-30]
A1,[0.57300656],[3.75515771e-25]
A2,[0.60150726],[3.5711372e-28]
PTS,[0.63307175],[6.78858317e-32]
+/-,[0.10102216],[0.09637158]
PIM,[0.3070497],[2.38549579e-07]
Shifts,[0.61671478],[6.49560484e-30]
TOI,[0.64966959],[4.97079604e-34]
TOI/GP,[0.69274146],[3.00818907e-40]
iBLK,[0.58516348],[2.09922699e-26]
iFOW,[0.09351501],[0.12390752]
iFOL,[0.10591348],[0.08121893]
FO%,[0.08771853],[0.14906941]
OTG,[0.28127492],[2.43616077e-06]
GWG,[0.49250003],[4.93258272e-18]
G.Bkhd,[0.09144625],[0.1324797]
G.Dflct,[0.22645255],[0.00016536]
G.Slap,[0.52737798],[6.93876158e-21]
G.Snap,[0.29284135],[8.83233121e-07]
G.Tip,[0.24349034],[4.93386935e-05]
G.Wrap,[-0.00320727],[0.9580089]
G.Wrst,[0.46510898],[5.18612429e-16]
Post,[0.38521722],[4.68813766e-11]
Over,[0.47007788],[2.29828539e-16]
Wide,[0.60670791],[9.29466143e-29]
S.Bkhd,[0.41252523],[1.32524202e-12]
S.Dflct,[0.35480789],[1.71768388e-09]
S.Slap,[0.6524789],[2.09752715e-34]
S.Snap,[0.34534141],[4.88820413e-09]
S.Tip,[0.32377203],[4.66553668e-08]
S.Wrap,[0.09271144],[0.12718463]
S.Wrst,[0.56084696],[5.97679162e-24]
