Test Feature A,Test Feature B,R-Value,P-Value
Wt,Wt,[1.],[0.]
Wt,GP,[0.09101196],[0.1343359]
Wt,G,[0.06346616],[0.29697171]
Wt,A,[-0.02157851],[0.72312485]
Wt,A1,[-0.03234079],[0.59537523]
Wt,A2,[-0.00717372],[0.90625057]
Wt,PTS,[0.00167269],[0.97809308]
Wt,PIM,[0.30563352],[2.72653593e-07]
Wt,Shifts,[0.09009475],[0.13832181]
Wt,TOI,[0.07897402],[0.19411027]
Wt,TOI/GP,[0.03304336],[0.58740119]
Wt,iBLK,[0.09949554],[0.10153619]
Wt,OTG,[-0.00296084],[0.96123268]
Wt,GWG,[0.03797789],[0.53283057]
Wt,G.Dflct,[-0.1164682],[0.05503987]
Wt,G.Slap,[0.0165373],[0.78600369]
Wt,G.Snap,[0.1555987],[0.01016634]
Wt,G.Tip,[-0.0108812],[0.85822293]
Wt,G.Wrst,[0.02281382],[0.70797836]
Wt,Post,[0.05886016],[0.33348349]
Wt,Over,[0.04735464],[0.43666523]
Wt,Wide,[0.07972906],[0.189868]
Wt,S.Bkhd,[0.06396047],[0.29321758]
Wt,S.Dflct,[-0.0001664],[0.99782039]
Wt,S.Slap,[0.07823816],[0.19831091]
Wt,S.Snap,[0.07723102],[0.20416684]
Wt,S.Tip,[-0.07908781],[0.19346651]
Wt,S.Wrst,[0.06536862],[0.28269754]
GP,Wt,[0.09101196],[0.1343359]
GP,GP,[1.],[0.]
GP,G,[0.61322525],[1.6606892e-29]
GP,A,[0.72943784],[1.75796532e-46]
GP,A1,[0.67861878],[4.30904674e-38]
GP,A2,[0.71221533],[1.96056072e-43]
GP,PTS,[0.72940456],[1.78289022e-46]
GP,PIM,[0.60607465],[1.0964544e-28]
GP,Shifts,[0.97700698],[1.01887534e-183]
GP,TOI,[0.96235115],[3.87888394e-155]
GP,TOI/GP,[0.70353054],[5.56338189e-42]
GP,iBLK,[0.87808484],[1.4392156e-88]
GP,OTG,[0.26059385],[1.33813102e-05]
GP,GWG,[0.47458473],[1.08598714e-16]
GP,G.Dflct,[0.18356133],[0.00237049]
GP,G.Slap,[0.45700454],[1.90162113e-15]
GP,G.Snap,[0.33878493],[9.88501736e-09]
GP,G.Tip,[0.29303499],[8.6802219e-07]
GP,G.Wrst,[0.5304212],[3.77168342e-21]
GP,Post,[0.51445833],[8.63029197e-20]
GP,Over,[0.61240927],[2.0648288e-29]
GP,Wide,[0.79378148],[2.50536023e-60]
GP,S.Bkhd,[0.52794261],[6.19959819e-21]
GP,S.Dflct,[0.26152075],[1.24346953e-05]
GP,S.Slap,[0.71801029],[1.96100233e-44]
GP,S.Snap,[0.59152124],[4.4235119e-27]
GP,S.Tip,[0.41422829],[1.04941585e-12]
GP,S.Wrst,[0.75871704],[3.05982836e-52]
G,Wt,[0.06346616],[0.29697171]
G,GP,[0.61322525],[1.6606892e-29]
G,G,[1.],[0.]
G,A,[0.78864328],[4.7793186e-59]
G,A1,[0.77535007],[6.80134198e-56]
G,A2,[0.72941869],[1.77226346e-46]
G,PTS,[0.88158366],[3.57879982e-90]
G,PIM,[0.35405436],[1.86918223e-09]
G,Shifts,[0.66897775],[1.09168099e-36]
G,TOI,[0.71259945],[1.68605277e-43]
G,TOI/GP,[0.67728536],[6.78764712e-38]
G,iBLK,[0.57483302],[2.45336553e-25]
G,OTG,[0.47902694],[5.13078781e-17]
G,GWG,[0.77802172],[1.64617801e-56]
G,G.Dflct,[0.20467646],[0.0006832]
G,G.Slap,[0.75911046],[2.52775486e-52]
G,G.Snap,[0.6804921],[2.26657711e-38]
G,G.Tip,[0.29037768],[1.10047121e-06]
G,G.Wrst,[0.85224558],[4.54915106e-78]
G,Post,[0.65484503],[1.00692571e-34]
G,Over,[0.69810666],[4.22873459e-41]
G,Wide,[0.81401056],[9.53466256e-66]
G,S.Bkhd,[0.61695986],[6.07849085e-30]
G,S.Dflct,[0.38972124],[2.66226402e-11]
G,S.Slap,[0.71896024],[1.33709527e-44]
G,S.Snap,[0.65534047],[8.62781811e-35]
G,S.Tip,[0.39475768],[1.39956279e-11]
G,S.Wrst,[0.7734182],[1.87428596e-55]
A,Wt,[-0.02157851],[0.72312485]
A,GP,[0.72943784],[1.75796532e-46]
A,G,[0.78864328],[4.7793186e-59]
A,A,[1.],[0.]
A,A1,[0.952401],[1.2304249e-141]
A,A2,[0.95439919],[4.23103259e-144]
A,PTS,[0.9854714],[1.75588555e-210]
A,PIM,[0.35518359],[1.64666343e-09]
A,Shifts,[0.78194298],[1.97906831e-57]
A,TOI,[0.82051764],[1.23934225e-67]
A,TOI/GP,[0.75139785],[1.00136965e-50]
A,iBLK,[0.65902734],[2.70764601e-35]
A,OTG,[0.42585859],[2.05743021e-13]
A,GWG,[0.66010989],[1.92069166e-35]
A,G.Dflct,[0.16857816],[0.00531135]
A,G.Slap,[0.61104846],[2.9650564e-29]
A,G.Snap,[0.44620894],[1.01833039e-14]
A,G.Tip,[0.33372318],[1.68368588e-08]
A,G.Wrst,[0.6946138],[1.52431915e-40]
A,Post,[0.61096025],[3.03523745e-29]
A,Over,[0.68013067],[2.56663094e-38]
A,Wide,[0.84276687],[1.03830219e-74]
A,S.Bkhd,[0.60084341],[4.23308807e-28]
A,S.Dflct,[0.34148044],[7.41486542e-09]
A,S.Slap,[0.80054203],[4.54361766e-62]
A,S.Snap,[0.61598941],[7.90279301e-30]
A,S.Tip,[0.47159385],[1.78823473e-16]
A,S.Wrst,[0.7999228],[6.60221883e-62]
A1,Wt,[-0.03234079],[0.59537523]
A1,GP,[0.67861878],[4.30904674e-38]
A1,G,[0.77535007],[6.80134198e-56]
A1,A,[0.952401],[1.2304249e-141]
A1,A1,[1.],[0.]
A1,A2,[0.81801294],[6.73185863e-67]
A1,PTS,[0.94531878],[1.09413494e-133]
A1,PIM,[0.32383004],[4.6383873e-08]
A1,Shifts,[0.72977563],[1.52368847e-46]
A1,TOI,[0.76863302],[2.21179114e-54]
A1,TOI/GP,[0.70886408],[7.23417247e-43]
A1,iBLK,[0.61286491],[1.82850627e-29]
A1,OTG,[0.40380889],[4.2864107e-12]
A1,GWG,[0.64750017],[9.61814068e-34]
A1,G.Dflct,[0.16199705],[0.00742404]
A1,G.Slap,[0.59897397],[6.81869998e-28]
A1,G.Snap,[0.44254173],[1.776775e-14]
A1,G.Tip,[0.32777543],[3.10978345e-08]
A1,G.Wrst,[0.68062296],[2.16672033e-38]
A1,Post,[0.58150256],[5.0673744e-26]
A1,Over,[0.68567759],[3.7330679e-39]
A1,Wide,[0.83590729],[2.04527726e-72]
A1,S.Bkhd,[0.57366206],[3.22414267e-25]
A1,S.Dflct,[0.32549385],[3.92143226e-08]
A1,S.Slap,[0.7764006],[3.90254911e-56]
A1,S.Snap,[0.61632762],[7.21275309e-30]
A1,S.Tip,[0.46096671],[1.01186594e-15]
A1,S.Wrst,[0.78405889],[6.19506314e-58]
A2,Wt,[-0.00717372],[0.90625057]
A2,GP,[0.71221533],[1.96056072e-43]
A2,G,[0.72941869],[1.77226346e-46]
A2,A,[0.95439919],[4.23103259e-144]
A2,A1,[0.81801294],[6.73185863e-67]
A2,A2,[1.],[0.]
A2,PTS,[0.93409035],[4.89217743e-123]
A2,PIM,[0.35388481],[1.9050137e-09]
A2,Shifts,[0.76118434],[9.1783246e-53]
A2,TOI,[0.79608463],[6.50129847e-61]
A2,TOI/GP,[0.72427121],[1.52581317e-45]
A2,iBLK,[0.64398645],[2.76995266e-33]
A2,OTG,[0.40783787],[2.50200412e-12]
A2,GWG,[0.61096931],[3.02795366e-29]
A2,G.Dflct,[0.1592828],[0.00849452]
A2,G.Slap,[0.56690074],[1.52872894e-24]
A2,G.Snap,[0.41047822],[1.75127142e-12]
A2,G.Tip,[0.30843379],[2.09201745e-07]
A2,G.Wrst,[0.644141],[2.64480553e-33]
A2,Post,[0.58329197],[3.29849869e-26]
A2,Over,[0.61238289],[2.07940042e-29]
A2,Wide,[0.77185463],[4.22633611e-55]
A2,S.Bkhd,[0.57272302],[4.01073086e-25]
A2,S.Dflct,[0.32527943],[4.00744187e-08]
A2,S.Slap,[0.75055079],[1.48765308e-50]
A2,S.Snap,[0.55945713],[8.14152929e-24]
A2,S.Tip,[0.43797032],[3.52316388e-14]
A2,S.Wrst,[0.74182148],[8.02800524e-49]
PTS,Wt,[0.00167269],[0.97809308]
PTS,GP,[0.72940456],[1.78289022e-46]
PTS,G,[0.88158366],[3.57879982e-90]
PTS,A,[0.9854714],[1.75588555e-210]
PTS,A1,[0.94531878],[1.09413494e-133]
PTS,A2,[0.93409035],[4.89217743e-123]
PTS,PTS,[1.],[nan]
PTS,PIM,[0.37069842],[2.74200522e-10]
PTS,Shifts,[0.78509492],[3.49126194e-58]
PTS,TOI,[0.82681322],[1.56351987e-69]
PTS,TOI/GP,[0.76402822],[2.24947538e-53]
PTS,iBLK,[0.66484188],[4.20952452e-36]
PTS,OTG,[0.45899026],[1.38754517e-15]
PTS,GWG,[0.72122688],[5.32758406e-45]
PTS,G.Dflct,[0.18581892],[0.00208784]
PTS,G.Slap,[0.67873267],[4.14456057e-38]
PTS,G.Snap,[0.53103873],[3.33031944e-21]
PTS,G.Tip,[0.33623532],[1.29418691e-08]
PTS,G.Wrst,[0.76838852],[2.50505485e-54]
PTS,Post,[0.64969494],[4.93244029e-34]
PTS,Over,[0.7150061],[6.5156735e-44]
PTS,Wide,[0.87174208],[8.79723332e-86]
PTS,S.Bkhd,[0.63182718],[9.69786274e-32]
PTS,S.Dflct,[0.36955648],[3.13907606e-10]
PTS,S.Slap,[0.81314349],[1.67889811e-65]
PTS,S.Snap,[0.65402814],[1.29823548e-34]
PTS,S.Tip,[0.47082233],[2.03214632e-16]
PTS,S.Wrst,[0.82765633],[8.58900772e-70]
PIM,Wt,[0.30563352],[2.72653593e-07]
PIM,GP,[0.60607465],[1.0964544e-28]
PIM,G,[0.35405436],[1.86918223e-09]
PIM,A,[0.35518359],[1.64666343e-09]
PIM,A1,[0.32383004],[4.6383873e-08]
PIM,A2,[0.35388481],[1.9050137e-09]
PIM,PTS,[0.37069842],[2.74200522e-10]
PIM,PIM,[1.],[0.]
PIM,Shifts,[0.57589174],[1.91457824e-25]
PIM,TOI,[0.55285383],[3.46703052e-23]
PIM,TOI/GP,[0.37652571],[1.36379706e-10]
PIM,iBLK,[0.49858289],[1.65559453e-18]
PIM,OTG,[0.10007059],[0.09956561]
PIM,GWG,[0.25088523],[2.83852092e-05]
PIM,G.Dflct,[-0.00196468],[0.97427004]
PIM,G.Slap,[0.22936404],[0.00013533]
PIM,G.Snap,[0.22355619],[0.00020133]
PIM,G.Tip,[0.1681881],[0.00541961]
PIM,G.Wrst,[0.3109974],[1.63752786e-07]
PIM,Post,[0.3149724],[1.11491642e-07]
PIM,Over,[0.38148678],[7.44256773e-11]
PIM,Wide,[0.45209738],[4.10755338e-15]
PIM,S.Bkhd,[0.27588155],[3.85045087e-06]
PIM,S.Dflct,[0.07976537],[0.18966574]
PIM,S.Slap,[0.41032309],[1.78852297e-12]
PIM,S.Snap,[0.293322],[8.45937939e-07]
PIM,S.Tip,[0.23879167],[6.94866011e-05]
PIM,S.Wrst,[0.45315186],[3.48469992e-15]
Shifts,Wt,[0.09009475],[0.13832181]
Shifts,GP,[0.97700698],[1.01887534e-183]
Shifts,G,[0.66897775],[1.09168099e-36]
Shifts,A,[0.78194298],[1.97906831e-57]
Shifts,A1,[0.72977563],[1.52368847e-46]
Shifts,A2,[0.76118434],[9.1783246e-53]
Shifts,PTS,[0.78509492],[3.49126194e-58]
Shifts,PIM,[0.57589174],[1.91457824e-25]
Shifts,Shifts,[1.],[nan]
Shifts,TOI,[0.99096504],[2.84271767e-238]
Shifts,TOI/GP,[0.79848235],[1.5667481e-61]
Shifts,iBLK,[0.90318891],[2.33948192e-101]
Shifts,OTG,[0.31642801],[9.67152115e-08]
Shifts,GWG,[0.53259957],[2.42872073e-21]
Shifts,G.Dflct,[0.20262509],[0.00077531]
Shifts,G.Slap,[0.50065496],[1.13573613e-18]
Shifts,G.Snap,[0.37841104],[1.08471528e-10]
Shifts,G.Tip,[0.30430217],[3.08950665e-07]
Shifts,G.Wrst,[0.58049502],[6.44569778e-26]
Shifts,Post,[0.54743566],[1.11156055e-22]
Shifts,Over,[0.63800425],[1.62507736e-32]
Shifts,Wide,[0.83162352],[4.9031883e-71]
Shifts,S.Bkhd,[0.55767424],[1.20777895e-23]
Shifts,S.Dflct,[0.30059314],[4.36198894e-07]
Shifts,S.Slap,[0.75818394],[3.96147964e-52]
Shifts,S.Snap,[0.61467955],[1.12461942e-29]
